funcao,dataset,n,m,fator_carga,colisoes,maior_bucket
baseline,real,10000,16384,0.610,2628,6
baseline,adversario,10000,16384,0.610,9360,16
fibonacci,real,10000,16384,0.610,2541,6
fibonacci,adversario,10000,16384,0.610,2542,6
baseline,real,50000,131072,0.381,8789,6
baseline,adversario,50000,131072,0.381,44880,10
fibonacci,real,50000,131072,0.381,8370,5
fibonacci,adversario,50000,131072,0.381,8379,5
baseline,real,87263,131072,0.666,24360,8
baseline,adversario,87263,131072,0.666,82143,18
fibonacci,real,87263,131072,0.666,23395,7
fibonacci,adversario,87263,131072,0.666,23516,8
